field_name	field_location	data_type	units	field_description	allowable_enumeration
out.emissions.electricity.refrigeration.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site refrigeration electricity use with Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.shoulder_daily_average.egrid_2021_state	metadata	float	co2e_kg	Daily average greenhouse gas emissions during shoulder season from electricity use, using eGRID 2021 state emissions intensity values	""
out.emissions.electricity.shoulder_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Daily average greenhouse gas emissions during shoulder season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.electricity.shoulder_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.shoulder_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.shoulder_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.summer_daily_average.egrid_2021_state	metadata	float	co2e_kg	Daily average greenhouse gas emissions during summer season from electricity use, using eGRID 2021 state emissions intensity values	""
out.emissions.electricity.summer_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Daily average greenhouse gas emissions during summer season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.electricity.summer_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.summer_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.summer_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.aer_95_decarb_by_2035_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Average Emissions Rate 95% decarb by 2035 non-levelized emissions intensity values from 2023	""
out.emissions.electricity.water_systems.aer_95_decarb_by_2050_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Average Emissions Rate 95% decarb by 2050 non-levelized emissions intensity values from 2023	""
out.emissions.electricity.water_systems.aer_high_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Average Emissions Rate high renewable energy cost non-levelized emissions intensity values from 2023	""
out.emissions.electricity.water_systems.aer_low_re_cost_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Average Emissions Rate low renewable energy cost non-levelized emissions intensity values from 2023	""
out.emissions.electricity.water_systems.aer_mid_case_from_2023	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Average Emissions Rate mid case non-levelized emissions intensity values from 2023	""
out.emissions.electricity.water_systems.egrid_2018_state	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2018 state emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2018_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2018 subregion emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2019_state	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2019 state emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2019_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2019 subregion emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2020_state	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2020 state emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2020_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2020 subregion emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2021_state	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2021 state emissions intensity values	""
out.emissions.electricity.water_systems.egrid_2021_subregion	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with eGRID 2021 subregion emissions intensity values	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2035 emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2035 emissions intensity values levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2035 emissions intensity values levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2035_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2035 emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2050_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2050 emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_95_decarb_by_2050_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate 95% decarb by 2050 emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_high_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_low_re_cost_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.water_systems.lrmer_mid_case_15_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_mid_case_25_2025_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 25 years starting in 2025	""
out.emissions.electricity.water_systems.lrmer_mid_case_30_2023_start	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems electricity use with Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 30 years starting in 2023	""
out.emissions.electricity.winter_daily_average.egrid_2021_state	metadata	float	co2e_kg	Daily average greenhouse gas emissions during winter season from electricity use, using eGRID 2021 state emissions intensity values	""
out.emissions.electricity.winter_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Daily average greenhouse gas emissions during winter season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.electricity.winter_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.winter_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.electricity.winter_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.fuel_oil	metadata	float	co2e_kg	annual greenhouse gas emissions from total on-site fuel oil use	""
out.emissions.fuel_oil.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site total hvac fuel oil use	""
out.emissions.fuel_oil.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site heating fuel oil use	""
out.emissions.fuel_oil.interior_equipment	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site interior equipment fuel oil use	""
out.emissions.fuel_oil.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems fuel oil use	""
out.emissions.intensity.electricity.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Annual greenhouse gas emissions per floor area from total on-site electricity use using eGRID 2021 subregion emissions intensity values	""
out.emissions.intensity.electricity.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Annual greenhouse gas emissions per floor area from total on-site electricity use using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.shoulder_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.intensity.electricity.shoulder_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.shoulder_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.shoulder_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.summer_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during summer season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.intensity.electricity.summer_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.summer_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.summer_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.winter_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during winter season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.intensity.electricity.winter_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.winter_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.intensity.electricity.winter_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.natural_gas	metadata	float	co2e_kg	annual greenhouse gas emissions from total on-site natural gas use	""
out.emissions.natural_gas.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site total hvac natural gas use	""
out.emissions.natural_gas.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site heating natural gas use	""
out.emissions.natural_gas.interior_equipment	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site interior equipment natural gas use	""
out.emissions.natural_gas.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems natural gas use	""
out.emissions.propane	metadata	float	co2e_kg	annual greenhouse gas emissions from total on-site propane use	""
out.emissions.propane.enduse_group.hvac	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site total hvac propane use	""
out.emissions.propane.heating	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site heating propane use	""
out.emissions.propane.interior_equipment	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site interior equipment propane use	""
out.emissions.propane.water_systems	metadata	float	co2e_kg	annual greenhouse gas emissions from on-site water systems propane use	""
out.emissions.savings.electricity.egrid_2021_subregion	metadata	float	co2e_kg	Savings of annual greenhouse gas emissions from total on-site electricity use using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.electricity.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Savings of annual greenhouse gas emissions from total on-site electricity use using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.shoulder_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during shoulder season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.electricity.shoulder_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.shoulder_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.shoulder_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.summer_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during summer season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.electricity.summer_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.summer_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.summer_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.winter_daily_average.egrid_2021_subregion	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during winter season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.electricity.winter_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.winter_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.electricity.winter_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg	Savings of daily average greenhouse gas emissions during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Savings of annual greenhouse gas emissions per floor area from total on-site electricity use using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.intensity.electricity.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of annual greenhouse gas emissions per floor area from total on-site electricity use using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.shoulder_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.intensity.electricity.shoulder_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.shoulder_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.shoulder_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during shoulder season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.summer_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during summer season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.intensity.electricity.summer_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.summer_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.summer_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during summer season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.winter_daily_average.egrid_2021_subregion	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during winter season from electricity use, using eGRID 2021 subregion emissions intensity values	""
out.emissions.savings.intensity.electricity.winter_daily_average.lrmer_high_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate high renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.winter_daily_average.lrmer_low_re_cost_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate low renewable energy cost emissions intensity values levelized over 15 years starting in 2023	""
out.emissions.savings.intensity.electricity.winter_daily_average.lrmer_mid_case_15_2023_start	metadata	float	co2e_kg_per_ft2	Savings of daily average greenhouse gas emissions per floor area during winter season from electricity use, using Cambium 2022 Long-Range Marginal Emissions Rate mid case emissions intensity values levelized over 15 years starting in 2023	""
out.utility_bills.electricity_bill_intensity	metadata	float	usd_per_ft2	Total electric bill per floor area	""
out.utility_bills.electricity_bill_max	metadata	float	usd	Maximum electric bill maximum across all applicable rates	""
out.utility_bills.electricity_bill_max_intensity	metadata	float	usd_per_ft2	Electricity bill intensity in 2022 usd/sqft for the maximum applicable electricity rate for the model.	""
out.utility_bills.electricity_bill_mean	metadata	float	usd	Mean electric bill across all applicable rates	""
out.utility_bills.electricity_bill_median	metadata	float	usd	Median electric bill across all applicable rates	""
out.utility_bills.electricity_bill_median_intensity	metadata	float	usd_per_ft2	Electricity bill intensity in 2022 usd/sqft for the median applicable electricity rate for the model.	""
out.utility_bills.electricity_bill_min	metadata	float	usd	Minimum electric bill across all applicable rates	""
out.utility_bills.electricity_bill_min_intensity	metadata	float	usd_per_ft2	Electricity bill intensity in 2022 usd/sqft for the minimum applicable electricity rate for the model.	""
out.utility_bills.electricity_bill_number_of_rates	metadata	float	usd	Number of applicable electric rates	""
out.utility_bills.electricity_bill_savings_intensity	metadata	float	usd_per_ft2	Electricity bill savings intensity in 2022 usd/sqft.	""
out.utility_bills.electricity_bill_savings_max	metadata	float	usd	Electricity bill savings in 2022 usd using the maximum applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_max_intensity	metadata	float	usd_per_ft2	Electricity bill savings intensity in 2022 usd/sqft using the maximum applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_mean	metadata	float	usd	Electricity bill savings in 2022 usd using the mean applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_median	metadata	float	usd	Electricity bill savings in 2022 usd using the median applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_median_intensity	metadata	float	usd_per_ft2	Electricity bill savings intensity in 2022 usd/sqft using the median applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_min	metadata	float	usd	Electricity bill savings in 2022 usd using the minimum applicable electricity rate.	""
out.utility_bills.electricity_bill_savings_min_intensity	metadata	float	usd_per_ft2	Electricity bill savings intensity in 2022 usd/sqft using the minimum applicable electricity rate.	""
out.utility_bills.electricity_energy_rate	metadata	float	usd_per_kwh	Total electric bill per kWh of electricity consumption	""
out.utility_bills.electricity_utility_eia_id	metadata	integer		The EIA ID of the electric utility for this building	""
out.utility_bills.fuel_oil_bill	metadata	float	usd	Fuel oil bill	""
out.utility_bills.fuel_oil_bill_intensity	metadata	float	usd_per_ft2	Total fuel oil bill per floor area	""
out.utility_bills.fuel_oil_bill_savings	metadata	float	usd	Total fuel oil bill savings	""
out.utility_bills.fuel_oil_bill_savings_intensity	metadata	float	usd_per_ft2	Total fuel oil bill savings per floor area	""
out.utility_bills.fuel_oil_rate_name	metadata	string		Name of the fuel oil rate used	EIA 2022 Average Residential Fuel Oil Price for GA|EIA 2022 Average Residential Fuel Oil Price for RI|EIA 2022 Average Residential Fuel Oil Price for KY|EIA 2022 Average Residential Fuel Oil Price for TN|EIA 2022 Average Residential Fuel Oil Price for TX|EIA 2022 Average Residential Fuel Oil Price for WY|EIA 2022 Average Residential Fuel Oil Price for NE|EIA 2022 Average Residential Fuel Oil Price for OR|EIA 2022 Average Residential Fuel Oil Price for VT|EIA 2022 Average Residential Fuel Oil Price for AL|...too many to list
out.utility_bills.natural_gas_bill	metadata	float	usd	Natural gas bill	""
out.utility_bills.natural_gas_bill_intensity	metadata	float	usd_per_ft2	Total natural gas bill per floor area	""
out.utility_bills.natural_gas_bill_savings	metadata	float	usd	Total natural gas bill savings	""
out.utility_bills.natural_gas_bill_savings_intensity	metadata	float	usd_per_ft2	Total natural gas bill savings per floor area	""
out.utility_bills.natural_gas_energy_rate	metadata	float	usd_per_kwh	Total natural gas bill per kWh of natural consumption. Note atypical consumption units for natural gas.	""
out.utility_bills.natural_gas_rate_name	metadata	string		Name of the natural gas rate used	EIA 2022 Average Commercial Natural Gas Price for UT|EIA 2022 Average Commercial Natural Gas Price for CA|EIA 2022 Average Commercial Natural Gas Price for KY|EIA 2022 Average Commercial Natural Gas Price for ND|EIA 2022 Average Commercial Natural Gas Price for VA|EIA 2022 Average Commercial Natural Gas Price for TX|EIA 2022 Average Commercial Natural Gas Price for MN|EIA 2022 Average Commercial Natural Gas Price for AZ|EIA 2022 Average Commercial Natural Gas Price for TN|EIA 2022 Average Commercial Natural Gas Price for MI|...too many to list
out.utility_bills.propane_bill	metadata	float	usd	Propane bill from one applicable rate	""
out.utility_bills.propane_bill_intensity	metadata	float	usd_per_ft2	Total propane bill per floor area	""
out.utility_bills.propane_bill_savings	metadata	float	usd	Total propane bill savings	""
out.utility_bills.propane_bill_savings_intensity	metadata	float	usd_per_ft2	Total propane bill savings per floor area	""
out.utility_bills.propane_rate_name	metadata	string		Name of the propane rate used	EIA 2022 Average Residential Propane Price for WI|EIA 2022 Average Residential Propane Price for NE|EIA 2022 Average Residential Propane Price for MT|EIA 2022 Average Residential Propane Price for MA|EIA 2022 Average Residential Propane Price for OK|EIA 2022 Average Residential Propane Price for LA|EIA 2022 Average Residential Propane Price for AL|EIA 2022 Average Residential Propane Price for NY|EIA 2022 Average Residential Propane Price for VA|EIA 2022 Average Residential Propane Price for KY|...too many to list
